Update Time,Jurisdiction,Route,MRM,Description,Label
"01/24/2025 10:15 AM","Louisa (County)","US-250E",118.34,"On US-250 in the County of Louisa, in the vicinity of Mallory Rd; Rt. 696N/S (Louisa County), motorists can expect delays due to a vehicle crash. All east lanes are closed. All west lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"01/24/2025 10:14 AM","Virginia Beach (City)","I-264E",18.65,"On I-264 at mile marker 18.6 in the City of Virginia Beach, near Rosemont Road, motorists can expect delays due to a disabled vehicle. The east exit 18 narrows.","Minor Incident - Traffic - Disabled Vehicle"
"01/24/2025 09:54 AM","Loudoun (County)","US-15N",227.44,"On US-15 in the County of Loudoun, in the vicinity of Black Walnut La, motorists can expect delays due to a vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"01/24/2025 09:50 AM","Fairfax (County)","Rt. 4543N (Fairfax County)",0.42,"On Rt. 4543 North in the County of Fairfax, in the vicinity of Kerry La; Rt. 4541E/W (Fairfax County), motorists can expect delays due to icy conditions. Lane closures exist.","Minor Incident - Icy Conditions - Advisory"
"01/24/2025 09:54 AM","Prince William (County)","I-95S",161,"On I-95 at mile marker 161 in the County of Prince William, motorists can expect delays due to a disabled tractor trailer. The south entrance ramp narrows.","Minor Incident - Traffic - Disabled Tractor Trailer"
"01/24/2025 10:14 AM","Augusta (County)","I-81N",236.3,"On I-81 at mile marker 236.3 in the County of Augusta, motorists can expect delays due to a tractor trailer crash. All north lanes are closed. Traffic backups are approximately 5.0 miles.","Major Incident - Traffic - Tractor Trailer Crash"
"01/24/2025 09:54 AM","Fairfax (County)","I-95N",161.4,"On I-95 at mile marker 161.4 in the County of Fairfax, motorists can expect delays due to a tractor trailer crash. The north left shoulder is closed.","Major Incident - Traffic - Tractor Trailer Crash"
"01/24/2025 10:03 AM","Henrico (County)","I-64E",200.9,"On I-64 East at mile marker 200.9 in the County of Henrico, motorists can expect delays due to a disabled vehicle.","Minor Incident - Traffic - Disabled Vehicle"
"01/24/2025 10:12 AM","Middlesex (County)","VA-3E",135.48,"On VA-3 East in the County of Middlesex, in the vicinity of Regent Rd; Rt. 626N/S (Middlesex County), motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"01/24/2025 10:07 AM","Virginia Beach (City)","I-264E",15.03,"On I-264 at mile marker 15 in the City of Virginia Beach, near Witchduck Road, motorists can expect delays due to a disabled vehicle. The east exit 16 narrows.","Minor Incident - Traffic - Disabled Vehicle"
"01/24/2025 10:11 AM","Prince William (County)","I-95N",160.7,"On I-95 at mile marker 160.7 in the County of Prince William, motorists can expect delays due to a tractor trailer crash. The north right lane and right shoulder are closed.","Major Incident - Traffic - Tractor Trailer Crash"
"01/24/2025 10:13 AM","Norfolk (City)","I-64W",272.4,"On I-64 in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect potential delays due to a bridge/tunnel stoppage. All west lanes are closed.","Major Incident - Traffic - Bridge/Tunnel Stoppage"
"01/24/2025 10:13 AM","Stafford (County)","I-95S",147.1,"On I-95 at mile marker 147.1 in the County of Stafford, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
"01/24/2025 08:02 AM","Fairfax (County)","I-95R",167,"On I-95R at mile marker 167 in the County of Fairfax, motorists can expect potential delays due to a disabled vehicle. The north right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
"01/24/2025 09:56 AM","Fairfax (County)","I-495N",49,"On I-495 at mile marker 49 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The north exit 49B narrows.","Minor Incident - Traffic - Disabled Vehicle"
