Update Time,Jurisdiction,Route,MRM,Description,Label
"01/13/2025 03:01 PM","Hampton (City)","I-64E",270,"On I-64 East in the City of Hampton, at Hampton Roads Bridge Tunnel East, motorists can expect delays due to congestion. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Congestion/Delay"
"01/13/2025 02:42 PM","Fairfax (County)","I-95S",170.9,"On I-95 at mile marker 170.9 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
"01/13/2025 02:44 PM","Suffolk (City)","I-664N",12.41,"On I-664 at mile marker 12.4 in the City of Suffolk, near College Drive, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
"01/13/2025 03:08 PM","Virginia Beach (City)","I-264E",22.29,"On I-264 at mile marker 22.3 in the City of Virginia Beach, near First Colonial Road, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
"01/13/2025 03:16 PM","Prince William (County)","I-95N",159.5,"On I-95 at mile marker 159.5 in the County of Prince William, motorists can expect delays due to a multi-vehicle crash. The north right shoulder is closed.","Major Incident - Traffic - Multi-Vehicle Crash"
"01/13/2025 02:53 PM","Newport News (City)","I-664S",7.84,"On I-664 South in the City of Newport News, at Monitor Merrimac Memorial Bridge Tunnel South, motorists can expect delays due to congestion. Traffic backups are approximately 2.0 miles.","Major Incident - Traffic - Congestion/Delay"
"01/13/2025 02:43 PM","Augusta (County)","I-81N",222,"On I-81 at mile marker 222 in the County of Augusta, motorists can expect delays due to a disabled vehicle. The north entrance ramp narrows.","Minor Incident - Traffic - Disabled Vehicle"
"01/13/2025 02:28 PM","Mecklenburg (County)","Rt. 621N (Mecklenburg County)",4.98,"On Rt. 621 North in the County of Mecklenburg, in the vicinity of Wilson Rd; Rt. 638E/W (Mecklenburg County), motorists can expect delays due to a vehicle crash. Lane closures exist.","Minor Incident - Traffic - Vehicle Crash"
"01/13/2025 02:59 PM","Fairfax (County)","I-495S",42.4,"On I-495 at mile marker 42.4 in the County of Fairfax, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Major Incident - Traffic - Vehicle Crash"
"01/13/2025 02:58 PM","New Kent (County)","VA-33E",38.34,"On VA-33 East in the County of New Kent, in the vicinity of Eltham Rd E; Johnson St; Kentwood Ave, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"01/13/2025 03:12 PM","Albemarle (County)","I-64E",124.2,"On I-64 at mile marker 124.2 in the County of Albemarle, motorists can expect delays due to a vehicle crash. The east left shoulder and right shoulder are closed.","Major Incident - Traffic - Vehicle Crash"
"01/13/2025 08:10 AM","Chesterfield (County)","Rt. 1958E (Chesterfield County)",0,"On Rt. 1958 East in the County of Chesterfield, in the vicinity of Aldwell Dr; Boulder View Dr; Rt. 1992N/S (Chesterfield County), motorists can expect delays due to icy conditions.","Minor Incident - Icy Conditions - Advisory"
"01/13/2025 03:13 PM","Norfolk (City)","I-64E",279.47,"On I-64 at mile marker 279.5 in the City of Norfolk, near Norview Avenue, motorists can expect delays due to a vehicle crash. The east left shoulder and left lane are closed. Traffic backups are approximately 3.0 miles.","Major Incident - Traffic - Vehicle Crash"
"01/13/2025 03:04 PM","Hampton (City)","I-664N",2.62,"On I-664 at mile marker 2.6 in the City of Hampton, near Aberdeen Road, motorists can expect delays due to a vehicle crash. The north entrance ramp is closed.","Minor Incident - Traffic - Vehicle Crash"
"01/13/2025 03:16 PM","Norfolk (City)","I-64W",272.4,"On I-64 West in the City of Norfolk, at Hampton Roads Bridge Tunnel West, motorists can expect delays due to congestion. Traffic backups are approximately 2.5 miles.","Major Incident - Traffic - Congestion/Delay"
"01/13/2025 08:17 AM","Brunswick (County)","Rt. 634N (Brunswick County)",1.51,"On Rt. 634 North in the County of Brunswick, in the vicinity of Governor Harrison Pkwy; US-58W, motorists can expect delays due to icy conditions.","Minor Incident - Icy Conditions - Advisory"
"01/13/2025 03:17 PM","Spotsylvania (County)","I-95N",131.3,"On I-95 at mile marker 131.3 in the County of Spotsylvania, motorists can expect delays due to a disabled vehicle. The north right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
"01/13/2025 03:11 PM","Norfolk (City)","I-264W",10.48,"On I-264 at mile marker 10.5 in the City of Norfolk, near Ballentine Boulevard, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
"01/13/2025 03:10 PM","Suffolk (City)","I-664S",11.02,"On I-664 at mile marker 11 in the City of Suffolk, near College Dr, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Major Incident - Traffic - Vehicle Crash"
"01/13/2025 03:15 PM","New Kent (County)","VA-249E",0,"On VA-249 East in the County of New Kent, in the vicinity of FROM & TO RT 64 EAST, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"01/13/2025 02:48 PM","Stafford (County)","I-95S",138.7,"On I-95 at mile marker 138.7 in the County of Stafford, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Major Incident - Traffic - Disabled Vehicle"
