Update Time,Jurisdiction,Route,MRM,Description,Label
"06/29/2025, 06:01 AM ET","Augusta (County)","I-64E",99.9,"On I-64 East at mile marker 99.9 in the County of Augusta, motorists can expect delays due to fog.","Minor Incident - Fog - Advisory"
"06/29/2025, 06:13 AM ET","Prince George (County)","I-95S",36,"On I-95 South at mile marker 36 in the County of Prince George, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"06/29/2025, 06:11 AM ET","Richmond (City)","I-95S",76.7,"On I-95 at mile marker 76.7 in the City of Richmond, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/29/2025, 06:10 AM ET","Chesapeake (City)","I-64W",293.4,"On I-64 in the City of Chesapeake, at High Rise Bridge, motorists can expect delays due to a disabled vehicle. The west right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/29/2025, 06:02 AM ET","Fairfax (County)","I-495S",51.9,"On I-495 at mile marker 51.9 in the County of Fairfax, motorists can expect delays due to a disabled vehicle. The south right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
"06/29/2025, 05:20 AM ET","Caroline (County)","I-95S",114,"On I-95 at mile marker 114 in the County of Caroline, motorists can expect delays due to a vehicle crash. The south right shoulder is closed.","Minor Incident - Traffic - Vehicle Crash"
"06/29/2025, 06:03 AM ET","Alexandria (City)","I-395S",3.2,"On I-395 at mile marker 3.2 in the City of Alexandria, motorists can expect delays due to a disabled vehicle. The south exit ramp narrows.","Minor Incident - Traffic - Disabled Vehicle"
"06/29/2025, 06:00 AM ET","Rockingham (County)","US-11N",277.6,"On US-11 in the County of Rockingham, in the vicinity of Endless Caverns Rd; Rt. 793E/W (Rockingham County), motorists can expect delays due to a vehicle crash. All north lanes are closed. All south lanes are closed.","Major Incident - Traffic - Vehicle Crash"
"06/29/2025, 06:19 AM ET","Goochland (County)","VA-288N",32.1,"On VA-288 North in the County of Goochland, in the vicinity of the ramp from Broad Street, motorists can expect delays due to a vehicle crash.","Minor Incident - Traffic - Vehicle Crash"
"06/29/2025, 06:02 AM ET","Augusta (County)","I-64W",99.9,"On I-64 West at mile marker 99.9 in the County of Augusta, motorists can expect delays due to fog.","Minor Incident - Fog - Advisory"
"06/29/2025, 06:18 AM ET","Fairfax (County)","I-95S",162.8,"On I-95 at mile marker 162.8 in the County of Fairfax, motorists can expect delays due to a tractor trailer crash. The south right shoulder is closed.","Minor Incident - Traffic - Tractor Trailer Crash"
"06/29/2025, 06:11 AM ET","Virginia Beach (City)","I-64E",285.1,"On I-64 at mile marker 285.1 in the City of Virginia Beach, near Twin Bridges, motorists can expect delays due to a disabled vehicle. The east right shoulder is closed.","Minor Incident - Traffic - Disabled Vehicle"
